"number";"pattern";"group_4";"group_3";"group_2";"group_1";"odd_even";"big_small"
"0113";"ABBC";"0***";"*1**";"**1*";"***3";"EOOO";"SSSS"
"0114";"ABBC";"0***";"*1**";"**1*";"***4";"EOOE";"SSSS"
"0115";"ABBC";"0***";"*1**";"**1*";"***5";"EOOO";"SSSB"
"0116";"ABBC";"0***";"*1**";"**1*";"***6";"EOOE";"SSSB"
"0117";"ABBC";"0***";"*1**";"**1*";"***7";"EOOO";"SSSB"
"0118";"ABBC";"0***";"*1**";"**1*";"***8";"EOOE";"SSSB"
"0119";"ABBC";"0***";"*1**";"**1*";"***9";"EOOO";"SSSB"
"0120";"ABCA";"0***";"*1**";"**2*";"***0";"EOEE";"SSSS"
"0121";"ABCB";"0***";"*1**";"**2*";"***1";"EOEO";"SSSS"
"0122";"ABCC";"0***";"*1**";"**2*";"***2";"EOEE";"SSSS"
"0123";"ABCD";"0***";"*1**";"**2*";"***3";"EOEO";"SSSS"
"0124";"ABCD";"0***";"*1**";"**2*";"***4";"EOEE";"SSSS"
"0125";"ABCD";"0***";"*1**";"**2*";"***5";"EOEO";"SSSB"
"0126";"ABCD";"0***";"*1**";"**2*";"***6";"EOEE";"SSSB"
"0127";"ABCD";"0***";"*1**";"**2*";"***7";"EOEO";"SSSB"
"0128";"ABCD";"0***";"*1**";"**2*";"***8";"EOEE";"SSSB"
"0129";"ABCD";"0***";"*1**";"**2*";"***9";"EOEO";"SSSB"
"0130";"ABCA";"0***";"*1**";"**3*";"***0";"EOOE";"SSSS"
"0131";"ABCB";"0***";"*1**";"**3*";"***1";"EOOO";"SSSS"
"0132";"ABCD";"0***";"*1**";"**3*";"***2";"EOOE";"SSSS"
"0133";"ABCC";"0***";"*1**";"**3*";"***3";"EOOO";"SSSS"
"0134";"ABCD";"0***";"*1**";"**3*";"***4";"EOOE";"SSSS"
"0135";"ABCD";"0***";"*1**";"**3*";"***5";"EOOO";"SSSB"
"0136";"ABCD";"0***";"*1**";"**3*";"***6";"EOOE";"SSSB"
"0137";"ABCD";"0***";"*1**";"**3*";"***7";"EOOO";"SSSB"
"0138";"ABCD";"0***";"*1**";"**3*";"***8";"EOOE";"SSSB"
"0139";"ABCD";"0***";"*1**";"**3*";"***9";"EOOO";"SSSB"
