"draw_date";"company_code";"number";"category";"position"
"2018-01-07";"DMC";"4371";"CONS";6
"2018-01-07";"DMC";"3050";"CONS";7
"2018-01-07";"DMC";"5249";"CONS";8
"2018-01-07";"DMC";"4431";"CONS";9
"2018-01-07";"DMC";"3795";"CONS";10
"2018-01-07";"MAG";"2966";"FST";1
"2018-01-07";"MAG";"7726";"SCD";2
"2018-01-07";"MAG";"4062";"TRD";3
"2018-01-07";"MAG";"----";"SP";1
"2018-01-07";"MAG";"3723";"SP";2
"2018-01-07";"MAG";"4250";"SP";3
"2018-01-07";"MAG";"6005";"SP";4
"2018-01-07";"MAG";"4472";"SP";5
"2018-01-07";"MAG";"----";"SP";6
"2018-01-07";"MAG";"6954";"SP";7
"2018-01-07";"MAG";"4054";"SP";8
"2018-01-07";"MAG";"9866";"SP";9
"2018-01-07";"MAG";"9638";"SP";10
"2018-01-07";"MAG";"1083";"SP";11
"2018-01-07";"MAG";"----";"SP";12
"2018-01-07";"MAG";"0472";"SP";13
"2018-01-07";"MAG";"7919";"CONS";1
"2018-01-07";"MAG";"5863";"CONS";2
"2018-01-07";"MAG";"9940";"CONS";3
"2018-01-07";"MAG";"7808";"CONS";4
"2018-01-07";"MAG";"9374";"CONS";5
"2018-01-07";"MAG";"3057";"CONS";6
"2018-01-07";"MAG";"8137";"CONS";7
"2018-01-07";"MAG";"4206";"CONS";8
"2018-01-07";"MAG";"1621";"CONS";9
"2018-01-07";"MAG";"6856";"CONS";10
"2018-01-07";"ST";"7029";"FST";1
"2018-01-07";"ST";"3078";"SCD";2
"2018-01-07";"ST";"8161";"TRD";3
"2018-01-07";"ST";"7675";"SP";1
"2018-01-07";"ST";"9590";"SP";2
"2018-01-07";"ST";"1303";"SP";3
"2018-01-07";"ST";"----";"SP";4
"2018-01-07";"ST";"5827";"SP";5
"2018-01-07";"ST";"0367";"SP";6
"2018-01-07";"ST";"9387";"SP";7
"2018-01-07";"ST";"3783";"SP";8
"2018-01-07";"ST";"7255";"SP";9
"2018-01-07";"ST";"4753";"SP";10
"2018-01-07";"ST";"5439";"SP";11
"2018-01-07";"ST";"----";"SP";12
"2018-01-07";"ST";"----";"SP";13
"2018-01-07";"ST";"2879";"CONS";1
"2018-01-07";"ST";"8522";"CONS";2
"2018-01-07";"ST";"4619";"CONS";3
"2018-01-07";"ST";"9072";"CONS";4
"2018-01-07";"ST";"7291";"CONS";5
"2018-01-07";"ST";"5721";"CONS";6
"2018-01-07";"ST";"3324";"CONS";7
"2018-01-07";"ST";"3037";"CONS";8
"2018-01-07";"ST";"1244";"CONS";9
"2018-01-07";"ST";"9775";"CONS";10
"2018-01-10";"DMC";"2034";"FST";1
"2018-01-10";"DMC";"0924";"SCD";2
"2018-01-10";"DMC";"8681";"TRD";3
"2018-01-10";"DMC";"5684";"SP";1
"2018-01-10";"DMC";"4997";"SP";2
"2018-01-10";"DMC";"9069";"SP";3
"2018-01-10";"DMC";"4942";"SP";4
"2018-01-10";"DMC";"1719";"SP";5
"2018-01-10";"DMC";"8892";"SP";6
"2018-01-10";"DMC";"0317";"SP";7
"2018-01-10";"DMC";"4488";"SP";8
"2018-01-10";"DMC";"3405";"SP";9
"2018-01-10";"DMC";"7365";"SP";10
"2018-01-10";"DMC";"4063";"CONS";1
"2018-01-10";"DMC";"0023";"CONS";2
"2018-01-10";"DMC";"9670";"CONS";3
"2018-01-10";"DMC";"0891";"CONS";4
"2018-01-10";"DMC";"5623";"CONS";5
"2018-01-10";"DMC";"4260";"CONS";6
"2018-01-10";"DMC";"0136";"CONS";7
"2018-01-10";"DMC";"3012";"CONS";8
"2018-01-10";"DMC";"6337";"CONS";9
"2018-01-10";"DMC";"7691";"CONS";10
"2018-01-10";"MAG";"5158";"FST";1
